epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2446.27,1.8087,1.09471,2.25143,0.95216,0.95567,0.98572,0.73761,1.33767,0.71574,2.17636,0.0667604,6.66125e-05,6.66125e-05
2,4872.27,1.482,1.05135,2.13959,0.94107,0.8741,0.96147,0.77215,0.92409,0.66279,1.92586,0.0334497,8.9297e-05,8.9297e-05
3,7307.6,1.26892,0.99657,2.06179,0.84672,0.93503,0.96047,0.81438,0.81899,0.54106,1.84402,9.50818e-05,6.79816e-05,6.79816e-05
