epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2565.06,0.88084,0.57381,1.11292,0.9498,0.95226,0.97864,0.72252,0.73551,0.47195,1.14697,0.0667604,6.66125e-05,6.66125e-05
2,5043.96,0.74729,0.55862,1.0617,0.97492,0.94123,0.98152,0.84421,0.46991,0.36599,0.96854,0.0334497,8.9297e-05,8.9297e-05
3,7500.91,0.61793,0.53003,1.008,0.98357,0.96996,0.98707,0.87687,0.39951,0.29631,0.91521,9.50818e-05,6.79816e-05,6.79816e-05
