epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2453.23,1.79978,1.09373,2.25989,0.95452,0.90478,0.97397,0.71516,1.20887,0.76512,2.14252,0.0667604,6.66125e-05,6.66125e-05
2,4915.54,1.4879,1.05295,2.13589,0.8784,0.95904,0.9741,0.81549,0.9147,0.55246,1.92037,0.0334497,8.9297e-05,8.9297e-05
3,7374.75,1.26685,1.00063,2.0453,0.966,0.96098,0.98879,0.79607,0.98399,0.48171,1.93165,9.50818e-05,6.79816e-05,6.79816e-05
