epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,2547.18,0.5164,1.17303,0.22991,0.20602,0.57361,0.22621,0.13886,0.27927,1.16737,0.12748,0.0667135,3.33198e-05,3.33198e-05
2,5139.38,0.51928,0.58848,0.22784,0.78399,0.89394,0.81029,0.47373,0.49549,0.44525,0.16704,0.0333915,4.46576e-05,4.46576e-05
3,7672.4,0.37124,0.43059,0.16898,0.90915,0.94723,0.95699,0.76274,0.22804,0.34617,0.12223,4.75455e-05,3.39954e-05,3.39954e-05
