epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2435.18,1.79249,1.09457,2.25068,0.8537,0.87157,0.94202,0.74146,1.30899,0.96349,2.25914,0.0667604,6.66125e-05,6.66125e-05
2,4900.12,1.49668,1.05283,2.13287,0.83149,0.94767,0.96415,0.7781,0.91581,0.61896,1.90595,0.0334497,8.9297e-05,8.9297e-05
3,7340.67,1.27464,1.0041,2.03991,0.93498,0.91764,0.97019,0.82417,0.8444,0.53913,1.8274,9.50818e-05,6.79816e-05,6.79816e-05
