epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2594.06,0.87405,0.56209,1.13554,0.94531,0.9445,0.97826,0.7114,0.73309,0.48179,1.15505,0.0667604,6.66125e-05,6.66125e-05
2,5101.88,0.71757,0.53782,1.06895,0.94503,0.94213,0.97791,0.77819,0.47262,0.3453,0.9892,0.0334497,8.9297e-05,8.9297e-05
3,7601.25,0.60731,0.5145,1.02596,0.84219,0.97596,0.95927,0.79374,0.4482,0.38052,0.95518,9.50818e-05,6.79816e-05,6.79816e-05
