epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2565.29,0.88184,0.56238,1.11656,0.94534,0.93719,0.97462,0.73851,0.64916,0.48054,1.10971,0.0667604,6.66125e-05,6.66125e-05
2,5063.78,0.74335,0.55229,1.0684,0.92861,0.95863,0.98206,0.7786,0.51093,0.35285,1.00062,0.0334497,8.9297e-05,8.9297e-05
3,7552.38,0.62044,0.52637,1.02032,0.94368,0.96422,0.98288,0.83657,0.40196,0.30483,0.92096,9.50818e-05,6.79816e-05,6.79816e-05
