epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2098.45,0.90846,0.57156,1.12062,0.88323,0.92148,0.96119,0.71298,0.66378,0.55618,1.1266,0.0667675,6.65982e-05,6.65982e-05
2,4155.8,0.76325,0.55293,1.07624,0.88376,0.93818,0.96952,0.78843,0.47035,0.37451,0.98751,0.0334568,8.92875e-05,8.92875e-05
3,6208.79,0.64309,0.5287,1.02725,0.94153,0.97102,0.98453,0.83379,0.40856,0.29767,0.92198,0.0001022,6.79767e-05,6.79767e-05
