epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,2590.98,0.52902,1.13697,0.23782,0.28244,0.7467,0.32626,0.19869,0.38339,1.08169,0.22973,0.0667135,3.33198e-05,3.33198e-05
2,5213.28,0.46636,0.62266,0.21878,0.82527,0.94011,0.87142,0.61286,0.31627,0.43852,0.16458,0.0333915,4.46576e-05,4.46576e-05
3,7792.08,0.40386,0.44336,0.17812,0.91944,0.94797,0.95305,0.74807,0.24293,0.34139,0.10734,4.75455e-05,3.39954e-05,3.39954e-05
