epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2557.71,0.88259,0.57123,1.11232,0.90776,0.93015,0.96979,0.71615,0.71476,0.52706,1.16447,0.0667604,6.66125e-05,6.66125e-05
2,5023.64,0.73994,0.55651,1.05946,0.93734,0.94145,0.97625,0.79325,0.44789,0.34936,0.95074,0.0334497,8.9297e-05,8.9297e-05
3,7519.75,0.62086,0.52434,1.01718,0.92195,0.96331,0.97882,0.83966,0.41043,0.31475,0.91343,9.50818e-05,6.79816e-05,6.79816e-05
