epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,2547.43,0.52404,1.17168,0.23394,0.20935,0.49352,0.23479,0.12098,0.32127,1.19554,0.15815,0.0667135,3.33198e-05,3.33198e-05
2,5170.27,0.45653,0.76625,0.2003,0.80247,0.84865,0.80133,0.42804,0.50707,0.53779,0.23013,0.0333915,4.46576e-05,4.46576e-05
3,7722.29,0.34891,0.48912,0.16284,0.88306,0.92834,0.90554,0.67572,0.27845,0.38173,0.12207,4.75455e-05,3.39954e-05,3.39954e-05
