epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2580.56,0.87181,0.56162,1.13272,0.92998,0.91962,0.96854,0.68716,0.83265,0.61995,1.28911,0.0667604,6.66125e-05,6.66125e-05
2,5100.58,0.72797,0.53452,1.07492,0.88482,0.95926,0.96794,0.77119,0.57817,0.42141,1.073,0.0334497,8.9297e-05,8.9297e-05
3,7575.29,0.59955,0.51584,1.0235,0.93618,0.95313,0.98262,0.84461,0.37326,0.29534,0.92071,9.50818e-05,6.79816e-05,6.79816e-05
