epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2527.19,0.89098,0.56502,1.11237,0.96828,0.96618,0.98491,0.71123,0.74068,0.42657,1.18752,0.0667604,6.66125e-05,6.66125e-05
2,4953.54,0.74489,0.54605,1.0637,0.86039,0.96694,0.97102,0.79951,0.45159,0.3597,0.95777,0.0334497,8.9297e-05,8.9297e-05
3,7438.73,0.6146,0.5276,1.01279,0.95053,0.96901,0.98493,0.81849,0.41474,0.31721,0.92753,9.50818e-05,6.79816e-05,6.79816e-05
