epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2586.34,0.88482,0.5528,1.12814,0.91486,0.82003,0.9045,0.61696,1.2414,1.10844,1.68104,0.0667604,6.66125e-05,6.66125e-05
2,5110.63,0.73497,0.53761,1.06638,0.92314,0.95816,0.9813,0.8187,0.47163,0.31669,0.96392,0.0334497,8.9297e-05,8.9297e-05
3,7602.59,0.61059,0.5142,1.01982,0.96208,0.97621,0.98695,0.85939,0.40878,0.27672,0.92102,9.50818e-05,6.79816e-05,6.79816e-05
