epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2011.97,1.85174,1.0986,2.28525,0.90398,0.89518,0.96043,0.77248,1.13519,0.76105,2.09706,0.0667675,6.65982e-05,6.65982e-05
2,3992.1,1.5202,1.05386,2.16113,0.85415,0.9066,0.95676,0.78854,0.87706,0.6378,1.91818,0.0334568,8.92875e-05,8.92875e-05
3,5970.72,1.31568,0.99524,2.0723,0.85551,0.92972,0.96284,0.82128,0.79094,0.54612,1.84279,0.0001022,6.79767e-05,6.79767e-05
