epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2137.89,0.89584,0.56229,1.12867,0.896,0.93338,0.96224,0.71602,0.6668,0.53555,1.11343,0.0667675,6.65982e-05,6.65982e-05
2,4207.17,0.75103,0.53163,1.07966,0.93322,0.95195,0.9785,0.79206,0.46351,0.34865,0.9824,0.0334568,8.92875e-05,8.92875e-05
3,6244.57,0.63814,0.51007,1.0307,0.96124,0.96055,0.98482,0.84733,0.40664,0.28743,0.92363,0.0001022,6.79767e-05,6.79767e-05
