full_species_name,num_images,total_shapes
Treptoplatypus_fischeri,5,0
Treptoplatypus_taxicornis,10,0
Tricosa_metacuneolus,13,13
Truncaudum_agnatum,19,19
Truncaudum_impexum,14,14
Trypodendron_domesticum,80,124
Trypodendron_lineatum,43,50
Trypodendron_signatum,34,38
Wallacellus_piceus,10,10
Webbia_pabo,15,15
Xyleborinus_andrewesi,25,29
Xyleborinus_artestriatus,19,19
Xyleborinus_attenuatus,24,25
Xyleborinus_exiguus,12,12
Xyleborinus_gracilis,20,20
Xyleborinus_saxesenii,270,4535
Xyleborinus_schaufussi,16,21
Xyleborus_affinis,196,4854
Xyleborus_bidentatus,13,13
Xyleborus_bispinatus,41,41
Xyleborus_celsus,98,98
Xyleborus_ferrugineus,89,1296
Xyleborus_glabratus,119,3339
Xyleborus_horridus,23,23
Xyleborus_impressus,13,13
Xyleborus_intrusus,12,12
Xyleborus_monographus,22,58
Xyleborus_perforans,61,34
Xyleborus_pubescens,28,28
Xyleborus_spinulosus,17,17
Xyleborus_unknown,1,0
Xyleborus_volvulus,31,32
Xyleborus_xylographus,13,13
Xylocleptes_bispinus,37,39
Xylosandrus_amputatus,64,413
Xylosandrus_compactus,250,6539
Xylosandrus_crassiusculus,399,3601
Xylosandrus_germanus,74,194
Xylosandrus_morigerus,73,779
Xyloterinus_politus,27,28
nan_nan,128,0
unknown_unknown,35979,51343
