epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,2123.71,0.51958,1.22041,0.22534,0.18595,0.59985,0.19666,0.13328,0.28674,1.1441,0.2502,0.0667171,3.33162e-05,3.33162e-05
2,4215.82,0.4363,0.87403,0.19646,0.59752,0.952,0.67512,0.45312,0.36405,0.534,0.16254,0.0333951,4.46552e-05,4.46552e-05
3,6379.93,0.39467,0.51949,0.17407,0.82699,0.95784,0.88428,0.6826,0.25288,0.40297,0.11934,5.11057e-05,3.39942e-05,3.39942e-05
