epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2438.43,1.81904,1.08767,2.26272,0.91161,0.87001,0.94868,0.75121,1.08391,0.95268,2.02731,0.0667604,6.66125e-05,6.66125e-05
2,4879.88,1.50171,1.05511,2.12662,0.87824,0.9017,0.96379,0.81282,0.88594,0.58748,1.87827,0.0334497,8.9297e-05,8.9297e-05
3,7299.87,1.26522,1.00328,2.03728,0.95044,0.93039,0.97808,0.86094,0.76438,0.50352,1.80773,9.50818e-05,6.79816e-05,6.79816e-05
